slug,canonical_name,display_name,hashtag,publication_status,first_class_tier,family,base_trick,modifiers,notation_primary,notation_primary_system,operational_notation,operational_notation_source,operational_notation_convention,stanford_symbolic,stanford_symbolic_normalized,stanford_components,stanford_parseable,official_add,add_formula_primary,source_add_claim,source_add_system,doctrine_divergence_category,source_primary,source_refs,parser_status,shorthand_status,notation_gap,curator_notes
matador,matador,matador,#matador,canonical,,butterfly,butterfly,,CLIP > SAME OUT [DEX] [PDX] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],job_bracket,CLIP > SAME OUT [DEX] [PDX] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],Source: FootbagMoves.com.,canonical_bracket,X+0.-0-X,X+0.-0-X,"[""clipper-set"", ""same-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
merkon,merkon,merkon,#merkon,canonical,,legover,legover,,SPINNING LEGOVER,plain_self_token,,,,X.\-0+Z,X.\-0+Z,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
mind-bender,mind bender,mind bender,#mind_bender,canonical,,blender,blender,,CLIP >> DUCK [BOD] >> SAME FRONT WHIRL [DEX] [PDX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],job_bracket,CLIP >> DUCK [BOD] >> SAME FRONT WHIRL [DEX] [PDX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],Source: FootbagMoves.com.,canonical_bracket,X^-1\+X,X^-1\+X,"[""clipper-set"", ""duck"", ""opposite-side"", ""in-out-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,6,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
mirage,mirage,mirage,#mirage,canonical,,mirage,mirage,,MIRAGE,plain_self_token,,,,*.-1-Z,*.-1-Z,"[""any-set"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,2,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
mobius,mobius,mobius,#mobius,canonical,,torque,torque,,MOBIUS,plain_self_token,,,,X.\+1/-X,X.\+1/-X,"[""clipper-set"", ""peak"", ""backward-spin"", ""same-side"", ""in-out-dex"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
montage,montage,montage,#montage,canonical,,whirl,whirl,,CLIP >> (BACK) SPIN [BOD] > DUCK [BOD] >> (NO PLANT WHILE) OP FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL],job_bracket,CLIP >> (BACK) SPIN [BOD] > DUCK [BOD] >> (NO PLANT WHILE) OP FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL],Source: FootbagMoves.com.,canonical_bracket,X\^-!1-X,X\^-!1-X,"[""clipper-set"", ""backward-spin"", ""duck"", ""opposite-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""clipper-set""]",true,7,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
mullet,mullet,mullet,#mullet,canonical,,whirl,whirl,,CLIP >> DUCK [BOD] >> (NO PLANT WHILE) SAME FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL],job_bracket,CLIP >> DUCK [BOD] >> (NO PLANT WHILE) SAME FRONT WHIRL [DEX] [PDX] [BOD] > OP CLIP [XBD] [DEL],Source: FootbagMoves.com.,canonical_bracket,X^+!1-X,X^+!1-X,"[""clipper-set"", ""duck"", ""same-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""clipper-set""]",true,6,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
neck-stall,neck stall,neck stall,#neck_stall,canonical,,neck-stall,neck-stall,,[set] > neck,job_bracket,[set] > neck,,canonical_bracket,,,[],false,1,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
nemesis,nemesis,nemesis,#nemesis,canonical,,barfly,barfly,,,missing,,,,X-1+1.-0+0-X,X-1+1.-0+0-X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,6,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
nova,nova,nova,#nova,canonical,,legover,double-leg-over,,SYMPOSIUM DLO,plain_self_token,,,,Z.-!1-0+Z,Z.-!1-0+Z,"[""toe-set"", ""peak"", ""opposite-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
omelette,omelette,omelette,#omelette,canonical,,pickup,pickup,,,missing,,,,,,[],false,3,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
orbit,orbit,orbit,#orbit,canonical,,orbit,,,,missing,,,,Z.+0+Z,Z.+0+Z,"[""toe-set"", ""peak"", ""same-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,2,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
osis,osis,osis,#osis,canonical,,osis,osis,,OSIS,plain_self_token,,,,X.\-X,X.\-X,"[""clipper-set"", ""peak"", ""backward-spin"", ""opposite-side"", ""clipper-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
outside-stall,outside stall,outside stall,#outside_stall,canonical,,outside-stall,outside-stall,,[set] > outside,job_bracket,[set] > outside,,canonical_bracket,,,[],false,1,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
paradon,paradon,paradon,#paradon,canonical,,paradon,,,TOE > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],job_bracket,TOE > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],,canonical_bracket,Z.-0+0-X,Z.-0+0-X,"[""toe-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
paradox,paradox,paradox,#paradox,canonical,,,paradox,,,missing,,,,,,[],false,,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
paradox-barrage,paradox-barrage,paradox-barrage,#paradox_barrage,canonical,,barrage,barrage,,,missing,,,,,,[],false,4,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
paradox-blender,paradox blender,paradox blender,#paradox_blender,canonical,,blender,blender,,,missing,,,,X.+1\+X,X.+1\+X,"[""clipper-set"", ""peak"", ""same-side"", ""in-out-dex"", ""backward-spin"", ""same-side"", ""clipper-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
paradox-blizzard,paradox-blizzard,paradox-blizzard,#paradox_blizzard,canonical,,blizzard,blizzard,,,missing,,,,,,[],false,4,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
paradox-double-leg-over,paradox-double-leg-over,paradox-double-leg-over,#paradox_double_leg_over,canonical,,double-leg-over,double-leg-over,,,missing,,,,X.+1-0+Z,X.+1-0+Z,"[""clipper-set"", ""peak"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
paradox-drifter,paradox drifter,paradox drifter,#paradox_drifter,canonical,,drifter,drifter,,PARADOX DRIFTER,plain_self_token,,,,X.+1+X,X.+1+X,"[""clipper-set"", ""peak"", ""same-side"", ""in-out-dex"", ""same-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
paradox-high-plains-drifter,paradox-high-plains-drifter,paradox-high-plains-drifter,#paradox_high_plains_drifter,canonical,,high-plains-drifter,high-plains-drifter,,,missing,,,,,,[],false,5,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
paradox-mirage,paradox mirage,paradox mirage,#paradox_mirage,canonical,,mirage,mirage,,,missing,,,,X.+1-Z,X.+1-Z,"[""clipper-set"", ""peak"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
paradox-symposium-mirage,paradox-symposium-mirage,paradox-symposium-mirage,#paradox_symposium_mirage,canonical,,mirage,mirage,,,missing,,,,,,[],false,4,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
paradox-symposium-whirl,paradox symposium whirl,paradox symposium whirl,#paradox_symposium_whirl,canonical,,whirl,whirl,,,missing,,,,X.+!1-X,X.+!1-X,"[""clipper-set"", ""peak"", ""same-side"", ""no-plant-while"", ""in-out-dex"", ""opposite-side"", ""clipper-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
paradox-torque,paradox torque,paradox torque,#paradox_torque,canonical,,torque,torque,,,missing,,,,X.+1/-X,X.+1/-X,"[""clipper-set"", ""peak"", ""same-side"", ""in-out-dex"", ""forward-spin"", ""opposite-side"", ""clipper-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
paradox-whirl,paradox whirl,paradox whirl,#paradox_whirl,canonical,,whirl,whirl,,PARADOX WHIRL,plain_self_token,,,,X.+1-X,X.+1-X,"[""clipper-set"", ""peak"", ""same-side"", ""in-out-dex"", ""opposite-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
parkwalk,parkwalk,parkwalk,#parkwalk,canonical,,butterfly,butterfly,,PIXIE BUTTERFLY,plain_self_token,,,,Z+1_.+0-X,Z+1_.+0-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
paste,paste,paste,#paste,canonical,,pickup,pickup,,TOE > SAME IN [DEX] >> OP IN [DEX] > SAME TOE [DEL],job_bracket,TOE > SAME IN [DEX] >> OP IN [DEX] > SAME TOE [DEL],Source: FootbagMoves.com.,canonical_bracket,Z+1.-1+Z,Z+1.-1+Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
pendulum,pendulum,pendulum,#pendulum,canonical,,pendulum,,,SET > TOE SWING [DEL],job_bracket,SET > TOE SWING [DEL],,canonical_bracket,U,U,"[""pendulum""]",true,2,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
phoenix,phoenix,phoenix,#phoenix,canonical,,butterfly,butterfly,,TOE > SAME IN [DEX] >> DUCK [BOD] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],job_bracket,TOE > SAME IN [DEX] >> DUCK [BOD] >> OP OUT [DEX] > OP CLIP [XBD] [DEL],Source: FootbagMoves.com.,canonical_bracket,Z+1^-0-X,Z+1^-0-X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""duck"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
pickup,pickup,pickup,#pickup,canonical,,pickup,pickup,,PICKUP,plain_self_token,,,,*.-1+Z,*.-1+Z,"[""any-set"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,2,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
pigbeater,pigbeater,pigbeater,#pigbeater,canonical,,legover,eggbeater,,TOE > SAME IN [DEX] >> OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],job_bracket,TOE > SAME IN [DEX] >> OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],Source: FootbagMoves.com.,canonical_bracket,,,[],false,4,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
pixie,pixie,pixie,#pixie,canonical,,pixie,pixie,,PIXIE,plain_self_token,,,,Z+1.-Z,Z+1.-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""toe-set""]",true,2,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
plasma,plasma,plasma,#plasma,canonical,,plasma,,,,missing,,,,Z-1.-0+0-X,Z-1.-0+0-X,"[""toe-set"", ""opposite-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,5,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
pogo,pogo,pogo,#pogo,canonical,,pogo,pogo,,,missing,,,,,,[],false,0,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
predator,predator,predator,#predator,canonical,,double-leg-over,double-leg-over,,,missing,,,,Z-0.-1-0+Z,Z-0.-1-0+Z,"[""toe-set"", ""opposite-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
quantum,quantum,quantum,#quantum,canonical,,quantum,quantum,,QUANTUM,plain_self_token,,,,Z-1_.-1-Z,Z-1_.-1-Z,"[""toe-set"", ""opposite-side"", ""in-out-dex"", ""plant"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,2,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
rake,rake,rake,#rake,canonical,,rake,,,,missing,,,,Z.R,Z.R,"[""toe-set"", ""peak"", ""rake""]",true,2,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
reaper,reaper,reaper,#reaper,canonical,,clipper-stall,clipper-stall,,,missing,,,,X.+0+0+Z,X.+0+0+Z,"[""clipper-set"", ""peak"", ""same-side"", ""out-in-dex"", ""same-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
refraction,refraction,refraction,#refraction,canonical,,refraction,refraction,,,missing,,,,*.-L-0-X,*.-L-0-X,"[""any-set"", ""peak"", ""opposite-side"", ""inside-set"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
rev-whirl,rev whirl,rev whirl,#rev_whirl,canonical,,whirl,whirl,,CLIP > OP OUT [DEX] > OP CLIP [XBD] [DEL],job_bracket,CLIP > OP OUT [DEX] > OP CLIP [XBD] [DEL],,canonical_bracket,X.-0+X,X.-0+X,"[""clipper-set"", ""peak"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""clipper-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
reverse-drifter,reverse-drifter,reverse-drifter,#reverse_drifter,canonical,,reverse-drifter,reverse-drifter,,REV DRIFTER,plain_self_token,,,,,,[],false,3,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
ripstein,ripstein,ripstein,#ripstein,canonical,,ripstein,,,RIPSTEIN,plain_self_token,,,,X.+6+6+X,X.+6+6+X,"[""clipper-set"", ""peak"", ""same-side"", ""back-dex-swirl"", ""same-side"", ""back-dex-swirl"", ""same-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
ripwalk,ripwalk,ripwalk,#ripwalk,canonical,,butterfly,butterfly,,STEPPING BUTTERFLY,plain_self_token,,,,X-1.-0-X,X-1.-0-X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
rooted,rooted,rooted,#rooted,canonical,,rooted,rooted,,,missing,,,,,,[],false,0,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
royale,royale,royale,#royale,canonical,,reverse-drifter,reverse-drifter,,PARADOX REVERSE DRIFTER,plain_self_token,,,,X.+0+X,X.+0+X,"[""clipper-set"", ""peak"", ""same-side"", ""out-in-dex"", ""same-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
sailing,sailing,sailing,#sailing,canonical,,sailing,sailing,,SAILING,plain_self_token,,,,,,[],false,2,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
schmoe,schmoe,schmoe,#schmoe,canonical,,legover,legover,,,missing,,,,X-1_.+0+Z,X-1_.+0+Z,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""plant"", ""peak"", ""same-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
scrambled-eggbeater,scrambled eggbeater,scrambled eggbeater,#scrambled_eggbeater,canonical,,pickup,pickup,,TOE > OP OUT [DEX] >> OP IN [DEX] > SAME TOE [DEL],job_bracket,TOE > OP OUT [DEX] >> OP IN [DEX] > SAME TOE [DEL],Source: FootbagMoves.com.,canonical_bracket,Z-0.-1+Z,Z-0.-1+Z,"[""toe-set"", ""opposite-side"", ""out-in-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""toe-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
shooting,shooting,shooting,#shooting,canonical,,shooting,,,SHOOTING,plain_self_token,,,,,,[],false,3,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
shoulder-stall,shoulder stall,shoulder stall,#shoulder_stall,canonical,,shoulder-stall,shoulder stall,,[set] > shoulder,job_bracket,[set] > shoulder,,canonical_bracket,,,[],false,1,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
sidewalk,sidewalk,sidewalk,#sidewalk,canonical,,butterfly,butterfly,,SIDEWALK,plain_self_token,,,,X-1.+0-X,X-1.+0-X,"[""clipper-set"", ""opposite-side"", ""in-out-dex"", ""peak"", ""same-side"", ""out-in-dex"", ""opposite-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
smear,smear,smear,#smear,canonical,,mirage,mirage,,PIXIE MIRAGE,plain_self_token,,,,Z+1.-1-Z,Z+1.-1-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""toe-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
smog,smog,smog,#smog,canonical,,double-leg-over,double-leg-over,,PIXIE DLO,plain_self_token,,,,Z+1.-1-0+Z,Z+1.-1-0+Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""opposite-side"", ""out-in-dex"", ""same-side"", ""toe-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
smoke,smoke,smoke,#smoke,canonical,,drifter,drifter,,PIXIE DRIFTER,plain_self_token,,,,Z+1.-1+X,Z+1.-1+X,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""in-out-dex"", ""same-side"", ""clipper-set""]",true,4,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
smudge,smudge,smudge,#smudge,canonical,,illusion,illusion,,PIXIE ILLUSION,plain_self_token,,,,Z+1.-0-Z,Z+1.-0-Z,"[""toe-set"", ""same-side"", ""in-out-dex"", ""peak"", ""opposite-side"", ""out-in-dex"", ""opposite-side"", ""toe-set""]",true,3,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,no-job-stanford-only,
sole-kick,sole kick,sole kick,#sole_kick,canonical,,sole-kick,sole-kick,,[set] > sole kick,job_bracket,[set] > sole kick,,canonical_bracket,,,[],false,1,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
sole-stall,sole stall,sole stall,#sole_stall,canonical,,sole-stall,sole-stall,,[set] > sole,job_bracket,[set] > sole,,canonical_bracket,*. S,*.S,"[""any-set"", ""peak"", ""sole""]",true,2,,,,,canonical_db,stanford-2.txt | DB freestyle_tricks,,stanford_canonical_match,,
sole-survivor,sole-survivor,sole-survivor,#sole_survivor,canonical,,whirl,whirl,,,missing,,,,,,[],false,5,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-job-no-stanford,
spender,spender,spender,#spender,canonical,,blender,blender,,CLIP >> (BACK) SPIN [BOD] >> OP FRONT WHIRL [DEX] [PDX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],job_bracket,CLIP >> (BACK) SPIN [BOD] >> OP FRONT WHIRL [DEX] [PDX] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],Source: FootbagMoves.com.,canonical_bracket,,,[],false,6,,,,,canonical_db,DB freestyle_tricks (no stanford entry),,no_stanford_equivalent,no-stanford,
